antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'actor.external.country.US'}),frozenset({'victim.country.US'}),0.0370913190529876,0.7108229988726043,0.0334836527621195,0.9027355623100304,1.2699864294512244,0.007118290120734293,2.973101042841037
"frozenset({'actor.external.country.US', 'actor.external.country.Unknown'})",frozenset({'victim.country.US'}),0.00879368658399098,0.7108229988726043,0.007779030439684329,0.8846153846153846,1.2444946013542366,0.0015282757709060733,2.506200676437429
frozenset({'actor.external.country.KP'}),frozenset({'victim.country.KR'}),0.002480270574971815,0.005298759864712514,0.002029312288613303,0.8181818181818181,154.4100580270793,0.002016169930437015,5.470856820744079
frozenset({'actor.external.country.GB'}),frozenset({'victim.country.GB'}),0.00552423900789177,0.06313416009019165,0.004058624577226606,0.7346938775510203,11.637026239067055,0.003709856387325886,3.5312635504292764
frozenset({'victim.country.Unknown'}),frozenset({'actor.external.country.Unknown'}),0.024577226606538896,0.42322435174746337,0.014881623449830891,0.6055045871559633,1.4306941097691515,0.004479942651527959,1.462059201384337
frozenset({'victim.country.IL'}),frozenset({'actor.external.country.Unknown'}),0.00496054114994363,0.42322435174746337,0.002931228861330327,0.5909090909090909,1.3962076815033662,0.0008318070488288177,1.4098960290617562
frozenset({'victim.country.DE'}),frozenset({'actor.external.country.Unknown'}),0.005975197294250282,0.42322435174746337,0.003494926719278467,0.5849056603773585,1.3820226978015901,0.0009660777178561943,1.3895049707902016
frozenset({'victim.country.CN'}),frozenset({'actor.external.country.Unknown'}),0.006764374295377677,0.42322435174746337,0.003720405862457723,0.55,1.2995471497069793,0.0008575579363193013,1.2817236627834148
frozenset({'actor.external.country.PK'}),frozenset({'victim.country.IN'}),0.004735062006764375,0.014317925591882752,0.002480270574971815,0.5238095238095237,36.58417697787776,0.002412474309486012,2.0699323562570457
frozenset({'victim.country.JP'}),frozenset({'actor.external.country.Unknown'}),0.0066516347237880495,0.42322435174746337,0.003156708004509583,0.4745762711864407,1.12133498279801,0.0003415742104734684,1.097734298287086
frozenset({'victim.country.KR'}),frozenset({'actor.external.country.KP'}),0.005298759864712514,0.002480270574971815,0.002029312288613303,0.38297872340425526,154.4100580270793,0.002016169930437015,1.6166699063095282
frozenset({'victim.country.IN'}),frozenset({'actor.external.country.PK'}),0.014317925591882752,0.004735062006764375,0.002480270574971815,0.1732283464566929,36.58417697787776,0.002412474309486012,1.2037966392870565
frozenset({'victim.country.GB'}),frozenset({'actor.external.country.GB'}),0.06313416009019165,0.00552423900789177,0.004058624577226606,0.06428571428571428,11.637026239067055,0.003709856387325886,1.0627985231976729
frozenset({'victim.country.US'}),frozenset({'actor.external.country.US'}),0.7108229988726043,0.0370913190529876,0.0334836527621195,0.04710547184773989,1.2699864294512244,0.007118290120734293,1.0105091933040802
frozenset({'actor.external.country.Unknown'}),frozenset({'victim.country.Unknown'}),0.42322435174746337,0.024577226606538896,0.014881623449830891,0.03516249334043687,1.4306941097691515,0.004479942651527959,1.0109710357037693
frozenset({'victim.country.US'}),"frozenset({'actor.external.country.US', 'actor.external.country.Unknown'})",0.7108229988726043,0.00879368658399098,0.007779030439684329,0.010943695479777955,1.2444946013542366,0.0015282757709060733,1.002173798282222
frozenset({'actor.external.country.Unknown'}),frozenset({'victim.country.CN'}),0.42322435174746337,0.006764374295377677,0.003720405862457723,0.008790623335109217,1.2995471497069793,0.0008575579363193013,1.002044218998966
frozenset({'actor.external.country.Unknown'}),frozenset({'victim.country.DE'}),0.42322435174746337,0.005975197294250282,0.003494926719278467,0.008257858284496537,1.3820226978015904,0.0009660777178561943,1.0023016678370626
frozenset({'actor.external.country.Unknown'}),frozenset({'victim.country.JP'}),0.42322435174746337,0.0066516347237880495,0.003156708004509583,0.007458710708577517,1.12133498279801,0.0003415742104734684,1.0008131409680354
frozenset({'actor.external.country.Unknown'}),frozenset({'victim.country.IL'}),0.42322435174746337,0.00496054114994363,0.002931228861330327,0.006925945657964837,1.3962076815033662,0.0008318070488288177,1.0019791117283023
