,action.malware.variety.Ransomware
4300,False
3598,False
7723,False
6436,False
8719,False
6661,True
3934,True
4152,False
8130,False
8155,False
761,False
2980,False
8661,False
7958,False
2161,False
7480,False
2537,False
8730,False
1226,False
3902,False
70,True
2329,False
8136,True
7120,False
7098,False
606,True
5249,False
4118,True
5381,False
6609,False
6368,False
5957,True
898,False
8159,False
3713,True
6219,False
8521,True
5471,False
491,False
6226,True
205,True
4020,False
8335,True
5352,False
19,False
3770,False
1801,False
7889,True
8103,True
2105,False
332,False
6354,False
2618,False
2482,False
3602,True
752,True
5014,True
3148,False
5886,True
555,False
923,True
7306,False
7835,False
2188,False
3356,False
7031,True
7606,True
261,True
7001,False
8351,True
5490,False
3671,False
4184,False
1927,False
6686,False
2208,False
6951,True
2213,False
767,True
2860,True
8548,True
6114,True
6092,False
1569,False
2682,True
6913,False
4251,True
127,False
682,True
5588,False
6655,False
1104,False
5117,True
1200,True
7885,False
5080,False
1754,True
8269,False
2184,True
4375,True
1075,True
942,False
2190,False
7874,True
3824,True
536,True
4515,False
3443,True
1272,False
2650,False
2895,False
1229,True
7476,True
2422,False
7028,True
852,False
3263,True
8140,False
6839,True
6376,False
3706,False
8682,False
7070,False
1920,True
446,True
4932,True
8185,False
7717,False
4029,False
4263,False
2724,False
6328,False
6938,False
2304,True
6103,False
914,False
6551,True
1598,True
1167,True
520,True
8440,False
1414,False
7568,True
34,False
1531,True
5201,True
6691,True
8007,False
4043,False
6570,False
2848,False
7176,True
1668,False
6933,True
3368,False
8482,True
4677,True
2983,True
8266,True
3637,True
4420,False
7525,True
5453,False
5951,True
5373,False
6034,True
450,False
6874,True
6455,True
4511,True
6563,False
1064,True
2381,False
8697,False
1047,False
444,False
2862,False
5281,False
1559,True
2286,False
4281,False
6970,False
8769,False
79,False
5964,True
7672,True
2692,False
2521,False
1632,True
3312,True
40,False
3411,True
4278,False
6481,True
7259,True
2008,True
6430,False
2200,True
6145,False
3967,True
3930,True
6599,False
4389,True
705,True
2559,False
4506,False
1472,True
415,True
4540,False
3052,False
2279,True
4514,False
7425,True
922,False
4166,False
4770,False
4015,True
7684,True
3498,True
4064,False
5756,True
6056,False
4652,False
4476,False
5343,True
8052,True
7521,False
2070,True
186,True
2735,False
6065,False
1379,True
3032,True
3223,False
420,False
251,False
7248,False
2443,True
1767,True
7019,True
8247,True
7384,False
5488,True
2662,False
2857,False
7267,False
6373,False
5052,False
3994,True
5894,True
240,False
6852,True
8212,False
3308,False
7008,False
3447,True
4339,True
4575,False
4131,False
1041,True
5113,False
8004,False
2021,True
1605,False
2195,True
4741,True
7344,False
2257,True
7274,False
4203,False
530,False
207,False
7077,False
6005,False
74,False
4454,False
7709,True
3108,False
3414,False
5103,False
5392,False
6023,True
7141,True
1046,False
640,False
778,True
5186,False
6351,False
7635,False
1125,False
6741,False
8378,False
7290,False
3171,False
8205,False
2768,False
5386,False
3469,True
7311,True
2368,False
564,False
2061,False
7215,True
6842,False
3025,True
2625,True
8541,False
3838,False
1659,False
1564,False
1124,False
5791,False
3537,True
2328,True
3189,False
537,True
8294,False
1116,True
4095,False
4647,False
1715,True
1418,False
5218,False
8301,True
4230,False
5731,True
3568,True
8589,False
4520,True
585,True
4364,True
5430,True
3550,False
1369,False
4829,True
2680,False
413,False
2271,True
5638,False
4539,False
463,True
2786,True
211,False
3133,False
3724,True
7693,False
2023,True
3152,False
